"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","NODA","TOT","PC_GNI","A","2000",0.25473,
"CAN","NODA","TOT","PC_GNI","A","2001",0.217287,
"CAN","NODA","TOT","PC_GNI","A","2002",0.279057,
"CAN","NODA","TOT","PC_GNI","A","2003",0.237891,
"CAN","NODA","TOT","PC_GNI","A","2004",0.267804,
"CAN","NODA","TOT","PC_GNI","A","2005",0.337461,
"CAN","NODA","TOT","PC_GNI","A","2006",0.293758,
"CAN","NODA","TOT","PC_GNI","A","2007",0.289394,
"CAN","NODA","TOT","PC_GNI","A","2008",0.325411,
"CAN","NODA","TOT","PC_GNI","A","2009",0.303097,
"CAN","NODA","TOT","PC_GNI","A","2010",0.336482,
"CAN","NODA","TOT","PC_GNI","A","2011",0.319693,
"CAN","NODA","TOT","PC_GNI","A","2012",0.315871,
"CAN","NODA","TOT","PC_GNI","A","2013",0.274978,
"CAN","NODA","TOT","PC_GNI","A","2014",0.240991,
"CAN","NODA","TOT","PC_GNI","A","2015",0.279581,
"FRA","NODA","TOT","PC_GNI","A","2000",0.304828,
"FRA","NODA","TOT","PC_GNI","A","2001",0.309425,
"FRA","NODA","TOT","PC_GNI","A","2002",0.374897,
"FRA","NODA","TOT","PC_GNI","A","2003",0.403148,
"FRA","NODA","TOT","PC_GNI","A","2004",0.411528,
"FRA","NODA","TOT","PC_GNI","A","2005",0.47359,
"FRA","NODA","TOT","PC_GNI","A","2006",0.467687,
"FRA","NODA","TOT","PC_GNI","A","2007",0.379578,
"FRA","NODA","TOT","PC_GNI","A","2008",0.385227,
"FRA","NODA","TOT","PC_GNI","A","2009",0.470601,
"FRA","NODA","TOT","PC_GNI","A","2010",0.495449,
"FRA","NODA","TOT","PC_GNI","A","2011",0.45952,
"FRA","NODA","TOT","PC_GNI","A","2012",0.452689,
"FRA","NODA","TOT","PC_GNI","A","2013",0.405845,
"FRA","NODA","TOT","PC_GNI","A","2014",0.368113,
"FRA","NODA","TOT","PC_GNI","A","2015",0.367651,
"DEU","NODA","TOT","PC_GNI","A","2000",0.270087,
"DEU","NODA","TOT","PC_GNI","A","2001",0.271007,
"DEU","NODA","TOT","PC_GNI","A","2002",0.267909,
"DEU","NODA","TOT","PC_GNI","A","2003",0.284017,
"DEU","NODA","TOT","PC_GNI","A","2004",0.276065,
"DEU","NODA","TOT","PC_GNI","A","2005",0.360351,
"DEU","NODA","TOT","PC_GNI","A","2006",0.356039,
"DEU","NODA","TOT","PC_GNI","A","2007",0.366854,
"DEU","NODA","TOT","PC_GNI","A","2008",0.382826,
"DEU","NODA","TOT","PC_GNI","A","2009",0.354919,
"DEU","NODA","TOT","PC_GNI","A","2010",0.386701,
"DEU","NODA","TOT","PC_GNI","A","2011",0.386793,
"DEU","NODA","TOT","PC_GNI","A","2012",0.37176,
"DEU","NODA","TOT","PC_GNI","A","2013",0.380866,
"DEU","NODA","TOT","PC_GNI","A","2014",0.418735,
"DEU","NODA","TOT","PC_GNI","A","2015",0.523176,
"ITA","NODA","TOT","PC_GNI","A","2000",0.12811,
"ITA","NODA","TOT","PC_GNI","A","2001",0.150159,
"ITA","NODA","TOT","PC_GNI","A","2002",0.198566,
