id,country_txt,domestic,international,unknown,latitude,longitude
0,Austria,1,7,18,47.516231,14.550072
1,Belgium,2,5,15,50.503887,4.469936
2,Cyprus,0,2,29,35.126413,33.429859
3,Denmark,0,0,7,56.26392,9.501785
4,Finland,0,1,11,61.92411,25.748151
5,France,403,45,348,46.227638,2.213749
6,Germany,19,120,104,51.165691,10.451526
7,Greece,252,7,332,39.074208,21.824312
8,Iceland,0,0,2,64.963051,-19.020835
9,Ireland,1,18,118,53.1423672,-7.6920536
10,Italy,44,7,67,41.87194,12.56738
11,Malta,0,0,3,35.937496,14.375416
12,Netherlands,4,6,13,52.132633,5.291266
13,Norway,0,0,6,60.472024,8.468946
14,Portugal,0,0,3,39.399872,-8.224454
15,Spain,418,0,176,40.463667,-3.74922
16,Sweden,6,1,52,60.128161,18.643501
17,Switzerland,1,7,11,46.818188,8.227512
18,United Kingdom,492,95,576,55.378051,-3.435973
19,United States,180,4,264,37.09024,-95.712891
