"eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","ingroup","ingroup2","ingroup3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"201201010020","2012","1","1","","0","","217","United States","1","North America","Florida","Pensacola","30.488927","-87.227633","1","0","","01/01/2012: An assailant threw an incendiary device at the American Family Planning clinic in Pensacola, Florida, United States. There were no reported casualties in the attack. An individual, identified as Bobby Joe Rogers, claimed responsibility for the incident and stated that he carried out the attack due to his anti-abortion beliefs.","1","1","1","0","",".","0","1","0","7","Facility/Infrastructure Attack","",".","",".","5","Abortion Related","40","Clinics","American Family Planning","Clinic","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unaffiliated Individual(s)","","","","","20202","","","","An individual, identified as Bobby Joe Rogers, claimed responsibility for the incident and stated that he carried out the attack due to his anti-abortion beliefs.","0","","","1","1","1","8","Personal claim","","",".","","",".","","8","Incendiary","20","Gasoline or Alcohol","",".","",".","",".","",".","",".","",".","A firebomb was used in the attack.","0","0","0","0","0","0","1","3","Minor (likely < $1 million)","-99","An abortion clinic building was damaged in this attack.","0","","","","","","","","","","","","","",".","","","Man arrested, charged in Fla. abortion clinic fire, The Associated Press, January 6, 2012.","","","START Primary Collection","-9","-9","0","-9",""
"201201030019","2012","1","1","","0","","217","United States","1","North America","New York","New York City","40.728224","-73.79485200000001","1","0","The incident occurred in the borough of Queens.","01/01/2012: An assailant threw two incendiary devices at a house used for Hindu worship services in Queens, New York City, New York, United States. The devices fizzled out before catching fire. This was one of four arson attacks in Queens on this date. Ray Lazier Lengend was arrested and claimed responsibility for the series of incidents. Sources provide conflicting reports regarding whether they were personally or ideologically motivated.","0","1","1","1","2","Other Crime Type","1","1","0","7","Facility/Infrastructure Attack","",".","",".","15","Religious Figures/Institutions","86","Place of Worship","Unknown","Hindu Temple","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unaffiliated Individual(s)","","","","","20202","","","","The specific motive is unknown; however, police were investigating the series of four attacks in New York City as hate crimes.","0","","","-99","0","1","8","Personal claim","","",".","","",".","","8","Incendiary","19","Molotov Cocktail/Petrol Bomb","",".","",".","",".","",".","",".","",".","Molotov cocktails were used in the attack.","0","0","0","0","0","0","1","3","Minor (likely < $1 million)","-99","The structure of the building was damaged in this attack.","0","","","","","","","","","","","","","",".","","There is doubt that this incident meets terrorism-related criteria. Sources noted that the assailants claimed that he carried out the attacks for personal rather than political reasons.","Authorities probe fire attacks on 4 NYC sites, Associated Press Online, January 2, 2012.","Islamic centre, Hindu worship place attacked in US, The Press Trust of India Limited, January 2, 2012.","Security beefed up in NY after mosque attacks, Daily the Pak Banker, January 4, 2012.","START Primary Collection","-9","-9","0","-9","201201030020, 201201030021, 201201030022"
"201201030020","2012","1","1","","0","","217","United States","1","North America","New York","New York City","40.728224","-73.79485200000001","1","0","The incident occurred in the borough of Queens.","01/01/2012: An assailant threw three incendiary devices at the Imam Al-Khoei Foundation in Queens, New York City, New York, United States. The devices caused minimal damage to the building. This was one of four arson attacks in Queens on this date. Ray Lazier Lengend was arrested and claimed responsibility for the series of incidents. Sources provide conflicting reports regarding whether they were personally or ideologically motivated.","0","1","1","1","2","Other Crime Type","1","1","0","7","Facility/Infrastructure Attack","",".","",".","15","Religious Figures/Institutions","85","Religious Figure","Imam Al-Khoei Foundation","Islamic Center","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unaffiliated Individual(s)","","","","","20202","","","","The specific motive is unknown; however, police were investigating the series of four attacks in New York City as hate crimes.","0","","","-99","0","1","8","Personal claim","","",".","","",".","","8","Incendiary","19","Molotov Cocktail/Petrol Bomb","",".","",".","",".","",".","",".","",".","Molotov cocktails were used in the attack.","0","0","0","0","0","0","1","3","Minor (likely < $1 million)","-99","The Imam Al-Khoei Foundation was damaged in this attack.","0","","","","","","","","","","","","","",".","","There is doubt that this incident meets terrorism-related criteria. Sources noted that the assailants claimed that he carried out the attacks for personal rather than political reasons.","Security beefed up in NY after mosque attacks, Daily the Pak Banker, January 4, 2012.","Security beefed up in NY after mosque attacks, Daily The Pak Banker, January 4, 2012.","Authorities probe fire attacks on 4 NYC sites, Daily the Pak Banker, January 3, 2012.","START Primary Collection","-9","-9","0","-9","201201030019, 201201030021, 201201030022"
"201201030021","2012","1","1","","0","","217","United States","1","North America","New York","New York City","40.728224","-73.79485200000001","1","0","The incident occurred in the borough of Queens.","01/01/2012: An assailant threw an incendiary device at a house in Queens, New York City, New York, United States. The fire caused extensive damage to the house. This was one of four arson attacks in Queens on this date. Ray Lazier Lengend was arrested and claimed responsibility for the series of incidents. Sources provide conflicting reports regarding whether they were personally or ideologically motivated.","0","1","1","1","2","Other Crime Type","1","1","0","7","Facility/Infrastructure Attack","",".","",".","14","Private Citizens & Property","76","House/Apartment/Residence","Not Applicable","House","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unaffiliated Individual(s)","","","","","20202","","","","The specific motive is unknown; however, police were investigating the series of four attacks in New York City as hate crimes.","0","","","-99","0","1","8","Personal claim","","",".","","",".","","8","Incendiary","19","Molotov Cocktail/Petrol Bomb","",".","",".","",".","",".","",".","",".","Molotov cocktails were used in the attack.","0","0","0","0","0","0","1","3","Minor (likely < $1 million)","-99","The home was damaged in this attack.","0","","","","","","","","","","","","","",".","","There is doubt that this incident meets terrorism-related criteria. Sources noted that the assailants claimed that he carried out the attacks for personal rather than political reasons.","Security beefed up in NY after mosque attacks, Daily the Pak Banker, January 4, 2012.","Authorities probe fire attacks on 4 NYC sites, Daily the Pak Banker, January 3, 2012.","","START Primary Collection","-9","-9","0","-9","201201030019, 201201030020, 201201030022"
"201201030022","2012","1","1","","0","","217","United States","1","North America","New York","New York City","40.728224","-73.79485200000001","1","0","The incident occurred in the borough of Queens.","01/01/2012: An assailant threw an incendiary device at a bodega in Queens, New York City, New York, United States. Damages were reported, but their extent is unknown. This was one of four arson attacks in Queens on this date. Ray Lazier Lengend was arrested and claimed responsibility for the series of incidents. Sources provide conflicting reports regarding whether they were personally or ideologically motivated.","0","1","1","1","2","Other Crime Type","1","1","0","7","Facility/Infrastructure Attack","",".","",".","1","Business","7","Retail/Grocery/Bakery","Unknown","Convenience Store","217","United States","",".","",".","","","",".","",".","",".","","","",".","Unaffiliated Individual(s)","","","","","20202","","","","The specific motive is unknown; however, police were investigating the series of four attacks in New York City as hate crimes.","0","","","-99","0","1","8","Personal claim","","",".","","",".","","8","Incendiary","19","Molotov Cocktail/Petrol Bomb","",".","",".","",".","",".","",".","",".","Molotov cocktails were used in the attack.","0","0","0","0","0","0","1","3","Minor (likely < $1 million)","-99","The structure of the building was damaged in this attack.","0","","","","","","","","","","","","","",".","","There is doubt that this incident meets terrorism-related criteria. Sources noted that the assailants claimed that he carried out the attacks for personal rather than political reasons.","Security beefed up in NY after mosque attacks, Daily the Pak Banker, January 4, 2012.","Authorities probe fire attacks on 4 NYC sites, Daily the Pak Banker, January 3, 2012.","","START Primary Collection","-9","-9","0","-9","201201030019, 201201030020, 201201030021"
"201201050014","2012","1","5","","0","","603","United Kingdom","8","Western Europe","Northern Ireland","Belfast","54.629198","-5.986977","1","0","The incident occurred in Ligoniel area of the city.","01/05/2012: A soldier discovered an explosive device under the seat of his car in Ligoniel neighborhood, Belfast city, Belfast district, Northern Ireland, United Kingdom. The device was then detonated in a controlled explosion. Oglaigh na hEireann claimed responsibility for the incident.","1","1","1","0","",".","0","0","0","3","Bombing/Explosion","",".","",".","4","Military","34","Military Personnel (soldiers, troops, officers, forces)","British Armed Forces","Scottish Soldier","216","Great Britain","",".","",".","","","",".","",".","",".","","","",".","Oglaigh na hEireann","","","","","30193","","","","","0","","","-99","4","1","2","Call (post-incident)","","",".","","",".","","6","Explosives/Bombs/Dynamite","15","Vehicle","",".","",".","",".","",".","",".","",".","An explosive device placed under the driver's seat of the car and linked to a trip wire running to the seatbelt was used in the attack.","0","0","0","0","0","0","0","",".","","","0","","","","","","","","","","","","","",".","","","Four held over car bomb bid to kill soldier, The Times (London), January 14, 2012.","Bomb defused under soldier's car in N.Ireland, Reuters News, January 6, 2012.","Bomb found in soldier's car in Belfast, Guardian Unlimited, January 7, 2012.","START Primary Collection","0","0","1","1",""
"201201110014","2012","1","11","","0","","78","Greece","8","Western Europe","Attica","Athens","37.935694","23.729456","1","0","The incident occurred in the Agios Dimitrios area of the city.","01/11/2012: An explosive device exploded under an empty car in Agios Dimitrios neighborhood, Athens city, Attica region, Greece. The car belonged to the wife of the head of Greece's fire and rescue services. No group claimed responsibility for the attack; however, anarchist groups aiming to destroy the system often carry out similar incidents.","1","1","1","0","",".","0","1","0","3","Bombing/Explosion","",".","",".","13","Other","64","Fire Fighter/Truck","Greek Fire and Rescue Service","Car of Wife of Head","78","Greece","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","The specific motive is unknown; however, anarchist groups aiming to destroy the system often perpetrate similar attacks.","0","","","-99","0","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","16","Unknown Explosive Type","",".","",".","",".","",".","",".","",".","","0","0","0","0","0","0","1","3","Minor (likely < $1 million)","-99","A vehicle was damaged in this attack.","0","","","","","","","","","","","","","",".","","","BRIEF:   Bomb explodes   in Athens suburb; no injuries, DPA (Berlin), January 11, 2012.","","","START Primary Collection","-9","-9","0","-9",""
"201201160025","2012","1","16","","0","","98","Italy","8","Western Europe","Campania","Naples","40.851775","14.268124","1","0","Corso Meridionale near Naples central rail station","01/16/2012: Three explosive devices went off in the Equitalia tax agency office in Corso Meridionale near Naples railway station, Naples city, Campania region, Italy. No one was injured in the attack, but the building was damaged. No group claimed responsibility for the incident; however, sources noted that Equitalia had been attacked before because many Italians suspected it of strongarming people into paying taxes.","1","1","1","0","",".","0","1","0","3","Bombing/Explosion","",".","",".","1","Business","",".","Equitalia SpA","Office","98","Italy","",".","",".","","","",".","",".","",".","","","",".","Unknown","","","","","-9","","","","The specific motive is unknown; however, Equitalia had been attacked before because many Italians suspected it of strongarming people into paying taxes.","0","","","-99","0","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","17","Other Explosive Type","",".","",".","",".","",".","",".","",".","Homemade bombs were used in the attack.","0","0","0","0","0","0","1","3","Minor (likely < $1 million)","-99","Windows were shattered in this attack.","0","","","","","","","","","","","","","",".","","","UPDATE 1-Explosions damage Italy tax agency - Naples police, Reuters News, January 16, 2012.","TAX OFFICE BOMBED, Dominion Post, January 18, 2012.","BULLET SENT TO TAX OFFICE., ANSA - English Media Service, January 18, 2012.","START Primary Collection","-9","-9","0","-9",""
"201201190004","2012","1","19","","0","","603","United Kingdom","8","Western Europe","Northern Ireland","Londonderry","54.996612","-7.308575","1","0","The incident occurred on Foyle Street and on Strand Road.","01/19/2012: An explosive device detonated on Foyle Street near several businesses and a police station in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. No one was injured. This was one of two explosive devices to detonate on this date in Derry. The police had received a phone call approximately 40 minutes before the blasts warning them. No group claimed responsibility for the attack; however, sources attributed it to dissident republicans.","1","1","1","0","",".","1","1","0","3","Bombing/Explosion","",".","",".","14","Private Citizens & Property","79","Public Area (garden, parking lot, garage, beach, public building, camp)","Business district","Local businesses","233","Northern Ireland","3","Police","22","Police Building (headquarters, station, school)","Londonderry Police","Police stations","233","Northern Ireland","",".","",".","","","",".","Dissident Republicans","","","","","40150","","","","The specific motive is unknown; however, a source speculated that the assailants may have wanted to disrupt the city's preparation to be the United Kingdom's City of Culture for 2013.","0","","","-99","0","0","",".","","",".","","",".","","6","Explosives/Bombs/Dynamite","16","Unknown Explosive Type","",".","",".","",".","",".","",".","",".","Two explosive devices, one of which was concealed in a hold-all, were used in the attack.","0","0","0","0","0","0","-9","",".","","It is unknown if any property was damaged in this attack.","0","","","","","","","","","","","","","",".","","","Bombs explode in Northern Ireland city, CNN Wire, January 19, 2012.","JJJJJJ: UK:Bombs hit Londonderry in Northern, The Warrnambool Standard, January 21, 2012.","Bombs explode   after phone warning, thetimes.co.uk, January 20, 2012.","START Primary Collection","0","0","1","1","201201190032"
"201201190032","2012","1","19","","0","","603","United Kingdom","8","Western Europe","Northern Ireland","Londonderry","54.996612","-7.308575","1","0","","01/19/2012: An explosive device exploded on Strand Road near the Department of Health and Human Services in Londonderry city, Londonderry district, Northern Ireland, United Kingdom. No one was injured in the blast. This was one of two attacks in Derry on this date. Dissident republicans claimed responsibility for the incident.","1","1","1","0","",".","1","1","0","3","Bombing/Explosion","",".","",".","2","Government (General)","21","Government Building/Facility/Office","Department of Health and Social Services","Office","233","Northern Ireland","",".","",".","","","",".","",".","",".","","","",".","Dissident Republicans","","","","","40150","","","","The specific motive is unknown; however, a source speculated that the assailants may have wanted to disrupt the city's preparation to be the United Kingdom's City of Culture for 2013.","0","","","-99","0","1","3","Call (pre-incident)","","",".","","",".","","6","Explosives/Bombs/Dynamite","16","Unknown Explosive Type","",".","",".","",".","",".","",".","",".","","0","0","0","0","0","0","-9","",".","","It is unknown if any property was damaged in this attack.","0","","","","","","","","","","","","","",".","","","Bombs explode in Northern Ireland city, CNN Wire, January 19, 2012.","Double bomb blast terror, Belfast Telegraph, January 20, 2012.","Terror gangs behind series of shootings and bombings determined to shatter peace, Belfast Telegraph, April 23, 2012.","START Primary Collection","0","0","1","1","201201190004"
