Start,Finish,Conflict,Victorious party,Defeated party
1945,Ongoing,Korean conflict,,
1945,1946,War in Vietnam (1945–46),Viet Minh,"United Kingdom, British Raj, Provisional Government of the French Republic, Occupation of Japan"
1945,1949,Indonesian National Revolution,Indonesia,"Netherlands, United Kingdom, Japan"
1945,1946,Iran crisis of 1946,Imperial State of Iran,"Republic of Mahabad, Azerbaijan People's Government"
1946,1954,First Indochina War,"Viet Minh, Pathet Lao, Khmer Issarak, United Issarak Front, Soviet Union, China","French Union, French Fourth Republic, State of Vietnam, Cambodia, Kingdom of Laos, United States"
1946,1949,Greek Civil War,"Kingdom of Greece, Hellenic Army, United Kingdom","Provisional Democratic Government, Democratic Army of Greece, National Liberation Front (Macedonia)"
1947,1947,Paraguayan Civil War (1947),"Higinio Morínigo, Military of Paraguay, Colorado Party (Paraguay)","Liberal Party (Paraguay), Revolutionary Febrerista Party, Paraguayan Communist Party"
1947,1947,Integration of Junagadh,India,Junagadh State
1947,1948,Indo-Pakistani War of 1947,India,Pakistan
1947,1948,Malagasy Uprising,France,
1947,1948,1947–48 Civil War in Mandatory Palestine,"Yishuv, Haganah, Irgun, Lehi (group)","Palestinian people, Army of the Holy War, Arab Liberation Army"
1948,1948,Madiun Affair,Indonesia,Indonesian Socialist Party
1948,1948,Hyderabad Police Action,India,Hyderabad State
1948,1948,Costa Rican Civil War,José Figueres Ferrer,Teodoro Picado Michalski
1948,1948,Yeosu–Suncheon rebellion,South Korea,
1948,1949,Jeju uprising,South Korea,Workers' Party of South Korea
1948,1949,1948 Arab–Israeli War,Israel,"Kingdom of Egypt, Kingdom of Iraq, Jordan, Syrian Republic (1930-1958), Holy War Army, Arab Liberation Army, Lebanon"
1948,Ongoing,Internal conflict in Burma,"Anti-Fascist People's Freedom League, Tatmadaw, Burma Socialist Programme Party, State Peace and Development Council, Myanmar, Union Solidarity and Development Party, Democratic Karen Buddhist Army","Karen National Union, Karen National Liberation Army, Democratic Karen Buddhist Army, Mujahideen, Communist Party of Burma, Communist Party (Burma), Myanmar National Democratic Alliance Army, National Democratic Alliance Army, Shan State Army, Shan State Army – South, Shan State Army – North, Shan State National Army, Wa National Army, United Wa State Party, United Wa State Army, Kachin Independence Organisation, Kachin Independence Army, Pa-O National Organization, Mong Tai Army, God's Army (revolutionary group), All Burma Students' Democratic Front, Shan State Volunteer Force (page does not exist), Rohingya National Army, Ta'ang National Liberation Army, Republic of China, Thailand, United States, China, People's Republic of China"
1948,1958,La Violencia,,
1948,1960,Malayan Emergency,"United Kingdom, Australia, New Zealand, Federation of Malaya, Southern Rhodesia, Fiji, King's African Rifles, Gurkha","Malayan Communist Party, Malayan Races Liberation Army"
1949,1949,Palace Rebellion,Thailand,Pridi Phanomyong
1949,1961,Kuomintang insurgency (page does not exist),China,"Taiwan, Kuomintang"
1949,1965,Darul Islam (Indonesia),"Indonesia, Netherlands",Darul Islam (Indonesia)
1950,1950,Battle of Chamdo,China,Tibet
1950,1950,Makassar Uprising,Indonesia,
1950,1950,APRA coup d'état,"Indonesia, Netherlands",Legion of Ratu Adil
1950,1950,Utuado Uprising,United States,Puerto Rican Nationalist Party
1950,1950,San Juan Nationalist revolt,United States,Puerto Rican Nationalist Party
1950,1950,Jayuya Uprising,United States,Puerto Rican Nationalist Party
1950,1953,Korean War,"United Nations Command, First Republic of South Korea, United States, United Kingdom, Australia, Belgium, Canada, French Fourth Republic, Philippines, Colombia, Ethiopian Empire, Kingdom of Greece, Luxembourg, Netherlands, New Zealand, Union of South Africa, Thailand, Turkey, Denmark, India, Italy, Norway, Sweden","North Korea, China, Soviet Union, People's Republic of Bulgaria, Czechoslovak Socialist Republic, People's Republic of Hungary, People's Republic of Poland, Romanian People's Republic"
1950,1958,Kuomintang Islamic insurgency,China,Taiwan
1951,1951,Manhattan Rebellion,Thailand,
1952,1960,Mau Mau Uprising,United Kingdom,Kikuyu people
1953,1959,Cuban Revolution,26th of July Movement,Fulgencio Batista
1954,1954,Coup d'état of Yanaon,,French India
1954,1954,Annexation of Dadra and Nagar Haveli,"India, India","Portugal, Portugal"
1953,1975,Laotian Civil War,"Pathet Lao, North Vietnam","Kingdom of Laos, United States, Thailand, South Vietnam"
1954,1959,Jebel Akhdar War,Muscat and Oman,"Imamate of Oman, Ibadi"
1954,1962,Algerian War,"National Liberation Front (Algeria), Algerian National Movement, Algerian Communist Party","France, Organisation de l'armée secrète, Front Algérie Française"
1955,1972,First Sudanese Civil War,"Southern Sudan Liberation Movement, Azania Liberation Front, Anyanya","Anglo-Egyptian Sudan, History of Sudan (1956–1969), History of Sudan (1969–1985)"
1955,1975,Vietnam War,"North Vietnam, Viet Cong, Khmer Rouge, Khmer Issarak, Pathet Lao, China, North Korea","South Vietnam, United States, South Korea, Thailand, Australia, New Zealand, Kingdom of Laos, Khmer Republic, Turkey"
1956,1956,Quỳnh Lưu Uprising,North Vietnam,
1956,1956,Poznań 1956 protests,People's Republic of Poland,
1956,1956,Hungarian Revolution of 1956,"Soviet Union, State Protection Authority",Hungary
1956,1956,Suez Crisis,"Israel, United Kingdom, French Fourth Republic",Republic of Egypt (1953–1958)
1957,1958,Ifni War,"Spain, France",Morocco
1958,1958,1958 Lebanon crisis,"Lebanon, United States","Al-Mourabitoun, Lebanese Communist Party, Progressive Socialist Party"
1958,1958,14 July Revolution,"Iraq, Iraqi Republic (1958–1968)","Arab Federation, Arab Federation"
1958,1959,North Vietnamese invasion of Laos,North Vietnam,Kingdom of Laos
1958,1961,Permesta,Indonesia,
1959,1959,1959 Mosul uprising,"Iraq, Iraq",United Arab Republic
