<<<<<<< HEAD
﻿ConflictId,War,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,CumulativeIntensity,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version1-207,1994 civil war in Yemen,Yemen (North Yemen),Government of Yemen (North Yemen),,Democratic Republic of Yemen,1196,,1,South Yemen,1994,2,1,3,21/02/1994,1,28/04/1994,2,1,04/07/1994,1,678,,,,678,2,4.0-20161-206,First Chechen War,Russia (Soviet Union),Government of Russia (Soviet Union),,Chechen Republic of Ichkeria,1195,,1,Chechnya,1995,2,1,3,27/05/1994,1,26/11/1994,1,0,,,365,,,,365,1,4.0-20161-206,First Chechen War,Russia (Soviet Union),Government of Russia (Soviet Union),,Chechen Republic of Ichkeria,1195,,1,Chechnya,1996,2,1,3,27/05/1994,1,26/11/1994,1,1,08/11/1996,1,365,,,,365,1,4.0-20161-206,Second Chechen War,Russia (Soviet Union),Government of Russia (Soviet Union),,Chechen Republic of Ichkeria,1195,,1,Chechnya,1999,2,1,3,27/05/1994,1,11/08/1999,3,0,,,365,,,,365,1,4.0-20161-206,Second Chechen War,Russia (Soviet Union),Government of Russia (Soviet Union),,Chechen Republic of Ichkeria,1195,,1,Chechnya,2000,2,1,3,27/05/1994,1,11/08/1999,3,0,,,365,,,,365,1,4.0-20161-206,Second Chechen War,Russia (Soviet Union),Government of Russia (Soviet Union),,Chechen Republic of Ichkeria,1195,,1,Chechnya,2004,2,1,3,27/05/1994,1,11/08/1999,3,0,,,365,,,,365,1,4.0-20161-218,Kosovo War,Serbia (Yugoslavia),Government of Serbia (Yugoslavia),,UCK,1200,,1,Kosovo,1998,2,1,3,22/04/1996,1,06/03/1998,2,0,,,345,,,,345,1,4.0-20161-218,Kosovo War,Serbia (Yugoslavia),Government of Serbia (Yugoslavia),,UCK,1200,"Government of Belgium, Government of Canada, Government of Czech Republic, Government of Denmark, Government of France, Government of Germany, Government of Greece, Government of Hungary, Government of Iceland, Government of Italy, Government of Luxembourg, Government of Netherlands, Government of Norway, Government of Poland, Government of Portugal, Government of Spain, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Kosovo,1999,2,1,4,22/04/1996,1,06/03/1998,2,1,21/11/1999,1,345,,,"211, 20, 316, 390, 220, 260, 350, 310, 395, 325, 212, 210, 385, 290, 235, 230, 640, 200, 2",345,1,4.0-20161-215,Eritreanâ€“Ethiopian War,"Eritrea, Ethiopia",Government of Eritrea,,Government of Ethiopia,530,,1,Common border,1998,2,1,2,06/05/1998,1,31/05/1998,2,0,,,531,,530,,"530, 531",4,4.0-20161-215,Eritreanâ€“Ethiopian War,"Eritrea, Ethiopia",Government of Eritrea,,Government of Ethiopia,530,,1,Common border,1999,2,1,2,06/05/1998,1,31/05/1998,2,0,,,531,,530,,"530, 531",4,4.0-20161-215,Eritreanâ€“Ethiopian War,"Eritrea, Ethiopia",Government of Eritrea,,Government of Ethiopia,530,,1,Common border,2000,2,1,2,06/05/1998,1,31/05/1998,2,1,18/06/2000,5,531,,530,,"530, 531",4,4.0-20161-224,Terror attacks in USA,United States of America,Government of United States of America,"Government of Australia, Government of Canada, Government of France, Government of Germany, Government of Italy, Government of Poland, Government of Turkey, Government of United Kingdom",al-Qaida ,1630,,2,,2001,2,1,4,11/09/2001,1,11/09/2001,1,0,,,2,"900, 20, 220, 260, 325, 290, 640, 200",,,2,5,4.0-20161-299,War in Afghanistan,"Afghanistan, United Kingdom, United States of America",Government of Afghanistan,,"Government of United States of America, Government of United Kingdom ","2, 200",,2,,2001,2,1,2,07/10/2001,1,07/10/2001,1,1,13/11/2001,2,700,,"2, 200",,"2, 200, 700","1, 3, 5",4.0-20161-226,Iraq War,"Australia, Iraq, United Kingdom, United States of America","Government of Australia, Government of United Kingdom, Government of United States of America",,Government of Iraq,645,,2,,2003,2,1,2,20/03/2003,1,23/03/2003,1,1,28/04/2003,1,"900, 200, 2",,645,,"900, 645, 200, 2","1, 2, 3, 5",4.0-20161-271,Libyan Civil War,Libya,Government of Libya,,"Forces of Muammar Gaddafi, NTC","2012, 2011",,2,,2011,2,1,3,28/02/2011,1,04/03/2011,1,1,23/11/2011,1,620,,,,620,4,4.0-20161-270,South Sudanese Civil War,South Sudan,Government of South Sudan,Government of Uganda,SPLM/A In Opposition,4226,,2,,2014,2,1,4,20/08/2011,2,20/08/2011,2,0,,,626,500,,,626,4,4.0-20161-286,Syrian Civil War,Syria,Government of Syria,,IS,1076,,1,Islamic State,2014,2,1,3,14/05/2013,1,26/07/2013,1,0,,,652,,,,652,2,4.0-20161-286,Syrian Civil War,Syria,Government of Syria,"Government of Iran, Government of Russia (Soviet Union)",IS,1076,,1,Islamic State,2015,2,1,4,14/05/2013,1,26/07/2013,1,0,,,652,"630, 365",,,652,2,4.0-20161-281,War in Donbass,Ukraine,Government of Ukraine,,Donetsk People's Republic,5840,Government of Russia (Soviet Union),1,Donetsk,2014,2,1,4,12/04/2014,1,02/05/2014,1,1,16/09/2014,1,369,,,365,369,1,4.0-20161-283,War in Donbass,Ukraine,Government of Ukraine,,United Armed Forces of Novorossiya,5914,Government of Russia (Soviet Union),1,Novorossiya,2014,2,1,4,17/09/2014,1,25/09/2014,3,0,,,369,,,365,369,1,4.0-20161-283,War in Donbass,Ukraine,Government of Ukraine,,United Armed Forces of Novorossiya,5914,Government of Russia (Soviet Union),1,Novorossiya,2015,2,1,4,17/09/2014,1,25/09/2014,3,0,,,369,,,365,369,1,4.0-20161-292,Counter-offensive against Boko Haram,Nigeria,Government of Nigeria,"Government of Chad, Government of Niger",IS,1076,,1,Islamic State,2015,2,1,4,15/03/2015,1,22/03/2015,1,0,,,475,"483, 436",,,475,4,4.0-2016
=======
ConflictId,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,CumulativeIntensity,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
1-207,Yemen (North Yemen),Government of Yemen (North Yemen),,Democratic Republic of Yemen,1196,,1,South Yemen,1994,2,1,3,21/02/1994,1,28/04/1994,2,1,04/07/1994,1,678,,,,678,2,4.0-2016
1-206,Russia (Soviet Union),Government of Russia (Soviet Union),,Chechen Republic of Ichkeria,1195,,1,Chechnya,1995,2,1,3,27/05/1994,1,26/11/1994,1,0,,,365,,,,365,1,4.0-2016
1-206,Russia (Soviet Union),Government of Russia (Soviet Union),,Chechen Republic of Ichkeria,1195,,1,Chechnya,1996,2,1,3,27/05/1994,1,26/11/1994,1,1,08/11/1996,1,365,,,,365,1,4.0-2016
1-206,Russia (Soviet Union),Government of Russia (Soviet Union),,Chechen Republic of Ichkeria,1195,,1,Chechnya,1999,2,1,3,27/05/1994,1,11/08/1999,3,0,,,365,,,,365,1,4.0-2016
1-206,Russia (Soviet Union),Government of Russia (Soviet Union),,Chechen Republic of Ichkeria,1195,,1,Chechnya,2000,2,1,3,27/05/1994,1,11/08/1999,3,0,,,365,,,,365,1,4.0-2016
1-206,Russia (Soviet Union),Government of Russia (Soviet Union),,Chechen Republic of Ichkeria,1195,,1,Chechnya,2004,2,1,3,27/05/1994,1,11/08/1999,3,0,,,365,,,,365,1,4.0-2016
1-218,Serbia (Yugoslavia),Government of Serbia (Yugoslavia),,UCK,1200,,1,Kosovo,1998,2,1,3,22/04/1996,1,06/03/1998,2,0,,,345,,,,345,1,4.0-2016
1-218,Serbia (Yugoslavia),Government of Serbia (Yugoslavia),,UCK,1200,"Government of Belgium, Government of Canada, Government of Czech Republic, Government of Denmark, Government of France, Government of Germany, Government of Greece, Government of Hungary, Government of Iceland, Government of Italy, Government of Luxembourg, Government of Netherlands, Government of Norway, Government of Poland, Government of Portugal, Government of Spain, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Kosovo,1999,2,1,4,22/04/1996,1,06/03/1998,2,1,21/11/1999,1,345,,,"211, 20, 316, 390, 220, 260, 350, 310, 395, 325, 212, 210, 385, 290, 235, 230, 640, 200, 2",345,1,4.0-2016
1-215,"Eritrea, Ethiopia",Government of Eritrea,,Government of Ethiopia,530,,1,Common border,1998,2,1,2,06/05/1998,1,31/05/1998,2,0,,,531,,530,,"530, 531",4,4.0-2016
1-215,"Eritrea, Ethiopia",Government of Eritrea,,Government of Ethiopia,530,,1,Common border,1999,2,1,2,06/05/1998,1,31/05/1998,2,0,,,531,,530,,"530, 531",4,4.0-2016
1-215,"Eritrea, Ethiopia",Government of Eritrea,,Government of Ethiopia,530,,1,Common border,2000,2,1,2,06/05/1998,1,31/05/1998,2,1,18/06/2000,5,531,,530,,"530, 531",4,4.0-2016
1-224,United States of America,Government of United States of America,"Government of Australia, Government of Canada, Government of France, Government of Germany, Government of Italy, Government of Poland, Government of Turkey, Government of United Kingdom",al-Qaida ,1630,,2,,2001,2,1,4,11/09/2001,1,11/09/2001,1,0,,,2,"900, 20, 220, 260, 325, 290, 640, 200",,,2,5,4.0-2016
1-299,"Afghanistan, United Kingdom, United States of America",Government of Afghanistan,,"Government of United States of America, Government of United Kingdom ","2, 200",,2,,2001,2,1,2,07/10/2001,1,07/10/2001,1,1,13/11/2001,2,700,,"2, 200",,"2, 200, 700","1, 3, 5",4.0-2016
1-226,"Australia, Iraq, United Kingdom, United States of America","Government of Australia, Government of United Kingdom, Government of United States of America",,Government of Iraq,645,,2,,2003,2,1,2,20/03/2003,1,23/03/2003,1,1,28/04/2003,1,"900, 200, 2",,645,,"900, 645, 200, 2","1, 2, 3, 5",4.0-2016
1-271,Libya,Government of Libya,,"Forces of Muammar Gaddafi, NTC","2012, 2011",,2,,2011,2,1,3,28/02/2011,1,04/03/2011,1,1,23/11/2011,1,620,,,,620,4,4.0-2016
1-270,South Sudan,Government of South Sudan,Government of Uganda,SPLM/A In Opposition,4226,,2,,2014,2,1,4,20/08/2011,2,20/08/2011,2,0,,,626,500,,,626,4,4.0-2016
1-286,Syria,Government of Syria,,IS,1076,,1,Islamic State,2014,2,1,3,14/05/2013,1,26/07/2013,1,0,,,652,,,,652,2,4.0-2016
1-286,Syria,Government of Syria,"Government of Iran, Government of Russia (Soviet Union)",IS,1076,,1,Islamic State,2015,2,1,4,14/05/2013,1,26/07/2013,1,0,,,652,"630, 365",,,652,2,4.0-2016
1-281,Ukraine,Government of Ukraine,,Donetsk People's Republic,5840,Government of Russia (Soviet Union),1,Donetsk,2014,2,1,4,12/04/2014,1,02/05/2014,1,1,16/09/2014,1,369,,,365,369,1,4.0-2016
1-283,Ukraine,Government of Ukraine,,United Armed Forces of Novorossiya,5914,Government of Russia (Soviet Union),1,Novorossiya,2014,2,1,4,17/09/2014,1,25/09/2014,3,0,,,369,,,365,369,1,4.0-2016
1-283,Ukraine,Government of Ukraine,,United Armed Forces of Novorossiya,5914,Government of Russia (Soviet Union),1,Novorossiya,2015,2,1,4,17/09/2014,1,25/09/2014,3,0,,,369,,,365,369,1,4.0-2016
1-292,Nigeria,Government of Nigeria,"Government of Chad, Government of Niger",IS,1076,,1,Islamic State,2015,2,1,4,15/03/2015,1,22/03/2015,1,0,,,475,"483, 436",,,475,4,4.0-2016
>>>>>>> e9373da82c6f26076c72fce62f7276b8a31d435d
